"STATION","NAME","DATE","TMAX"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-01-10","48"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-01-11","62"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-01-12","73"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-01-13","56"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-01-14","42"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-01-15","44"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-01-16","40"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-01-17","54"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-01-18","60"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-01-19","65"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-01-20","71"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-01-21","70"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-01-22","57"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-01-23","69"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-01-24","78"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-01-25","83"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-01-26","73"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-01-27","73"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-01-28","79"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-01-29","79"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-01-30","71"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-01-31","54"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-02-01","69"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-02-02","70"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-02-03","65"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-02-04","71"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-02-05","75"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-02-06","75"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-02-07","79"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-02-08","72"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-02-09","65"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-02-10","70"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-02-11","67"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-02-12","64"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-02-13","64"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-02-14","63"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-02-15","71"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-02-16","53"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-02-17","67"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-02-18","73"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-02-19","74"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-02-20","62"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-02-21","64"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-02-22","66"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-02-23","55"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-02-24","68"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-02-25","79"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-02-26","46"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-02-27","69"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-02-28","56"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-03-01","60"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-03-02","64"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-03-03","68"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-03-04","80"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-03-05","84"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-03-06","60"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-03-07","68"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-03-08","75"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-03-09","73"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-03-10","82"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-03-11","59"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-03-12","73"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-03-13","75"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-03-14","78"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-03-15","82"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-03-16","86"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-03-17","93"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-03-18","82"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-03-19","76"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-03-20","86"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-03-21","72"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-03-22","85"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-03-23","74"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-03-24","86"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-03-25","55"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-03-26","55"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-03-27","68"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-03-28","77"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-03-29","82"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-03-30","80"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-03-31","89"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-04-01","81"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-04-02","86"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-04-03","73"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-04-04","48"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-04-05","71"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-04-06","81"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-04-07","89"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-04-08","93"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-04-09","90"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-04-10","95"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-04-11","60"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-04-12","77"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-04-13","85"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-04-14","83"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-04-15","94"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-04-16","95"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-04-17","96"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-04-18","97"
