"STATION","NAME","DATE","TAVG"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-01-01","48"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-01-02","55"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-01-03","51"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-01-04","48"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-01-05","55"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-01-06","46"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-01-07","44"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-01-08","49"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-01-09","62"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-01-10","64"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-01-11","41"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-01-12","48"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-01-13","54"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-01-14","57"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-01-15","62"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-01-16","45"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-01-17","37"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-01-18","49"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-01-19","40"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-01-20","43"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-01-21","48"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-01-22","52"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-01-23","50"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-01-24","45"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-01-25","52"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-01-26","54"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-01-27","56"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-01-28","54"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-01-29","42"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-01-30","38"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-01-31","37"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-02-01","48"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-02-02","57"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-02-03","64"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-02-04","49"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-02-05","30"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-02-06","26"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-02-07","40"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-02-08","46"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-02-09","65"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-02-10","45"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-02-11","37"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-02-12","41"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-02-13","38"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-02-14","36"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-02-15","51"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-02-16","59"
"USW00013962","ABILENE REGIONAL AIRPORT, TX US","2020-02-17","63"
